,dataset,style,valid_samples,total_samples,validity,diversity,retro_score,membership
26,chain_extenders,rs-2025-09-18_16-16-58,901,1000,0.95,0.88,0.5900,0.9
27,chain_extenders,rs-2025-09-18_17-19-11,893,1000,0.95,0.88,0.3900,0.94
28,chain_extenders,rs-2025-09-18_18-18-07,930,1000,0.88,0.88,0.4600,0.86
69,chain_extenders,rs-qwen2_5_7b-2025-09-18_22-37-04,976,1000,0.99,0.75,0.3100,0.99
70,chain_extenders,rs-qwen2_5_7b-2025-09-19_00-54-31,972,1000,0.98,0.77,0.4200,0.98
71,chain_extenders,rs-qwen2_5_7b-2025-09-19_04-53-08,973,1000,0.98,0.75,0.3300,0.98
29,chain_extenders,rsft-2025-09-18_16-21-49,900,1000,0.94,0.87,0.5000,0.91
30,chain_extenders,rsft-2025-09-18_17-25-10,929,1000,0.93,0.87,0.5800,0.89
31,chain_extenders,rsft-2025-09-18_18-36-03,907,1000,0.95,0.88,0.5300,0.94
32,chain_extenders,rsft-2025-09-18_19-51-41,906,1000,0.95,0.86,0.4700,0.94
72,chain_extenders,rsft-qwen2_5_7b-2025-09-18_22-37-32,977,1000,0.98,0.76,0.3400,0.98
73,chain_extenders,rsft-qwen2_5_7b-2025-09-19_00-05-47,980,1000,0.99,0.77,0.3500,0.99
74,chain_extenders,rsft-qwen2_5_7b-2025-09-19_01-17-03,968,1000,1.0,0.78,0.3300,1.0
34,isocyanates,ars-2025-09-18_16-23-40,631,1000,0.82,0.86,0.4800,0.77
35,isocyanates,ars-2025-09-18_17-21-39,627,1000,0.77,0.86,0.4800,0.71
36,isocyanates,ars-2025-09-18_19-26-50,639,1000,0.7,0.86,0.4700,0.65
76,isocyanates,ars-qwen2_5_7b-2025-09-18_22-53-48,951,1000,0.88,0.78,0.4600,0.88
77,isocyanates,ars-qwen2_5_7b-2025-09-19_00-18-06,943,1000,0.85,0.75,0.3700,0.85
78,isocyanates,ars-qwen2_5_7b-2025-09-19_01-32-37,952,1000,0.85,0.75,0.3900,0.85
37,isocyanates,cars-2025-09-18_16-25-42,711,1000,0.76,0.86,0.4500,0.75
38,isocyanates,cars-2025-09-18_17-32-47,695,1000,0.71,0.86,0.3800,0.66
39,isocyanates,cars-2025-09-18_18-42-27,675,1000,0.68,0.87,0.4000,0.63
40,isocyanates,cars-2025-09-18_20-08-23,667,1000,0.77,0.87,0.4800,0.7
41,isocyanates,cars-2025-09-18_20-58-45,693,1000,0.75,0.87,0.4700,0.71
79,isocyanates,cars-qwen2_5_7b-2025-09-18_22-28-15,958,1000,0.87,0.76,0.4200,0.87
80,isocyanates,cars-qwen2_5_7b-2025-09-18_23-04-41,958,1000,0.88,0.76,0.4100,0.88
81,isocyanates,cars-qwen2_5_7b-2025-09-18_23-43-37,952,1000,0.86,0.76,0.4600,0.86
42,isocyanates,rs-2025-09-18_16-30-52,467,1000,0.78,0.87,0.4500,0.72
43,isocyanates,rs-2025-09-18_17-34-32,456,1000,0.73,0.86,0.4500,0.69
44,isocyanates,rs-2025-09-18_19-33-08,460,1000,0.75,0.87,0.4800,0.7
82,isocyanates,rs-qwen2_5_7b-2025-09-18_22-50-21,924,1000,0.87,0.76,0.4100,0.87
83,isocyanates,rs-qwen2_5_7b-2025-09-19_01-46-02,919,1000,0.86,0.70,0.3300,0.86
84,isocyanates,rs-qwen2_5_7b-2025-09-19_04-58-43,928,1000,0.89,0.77,0.4100,0.89
45,isocyanates,rsft-2025-09-18_16-36-46,432,1000,0.71,0.86,0.3700,0.71
46,isocyanates,rsft-2025-09-18_17-36-52,438,1000,0.68,0.86,0.4500,0.68
47,isocyanates,rsft-2025-09-18_18-51-58,450,1000,0.78,0.86,0.5000,0.72
48,isocyanates,rsft-2025-09-18_20-07-38,469,1000,0.68,0.86,0.4500,0.65
85,isocyanates,rsft-qwen2_5_7b-2025-09-18_22-50-42,934,1000,0.88,0.79,0.3500,0.88
86,isocyanates,rsft-qwen2_5_7b-2025-09-19_00-15-53,934,1000,0.88,0.75,0.3900,0.88
87,isocyanates,rsft-qwen2_5_7b-2025-09-19_01-27-40,942,1000,0.85,0.74,0.4400,0.85
